Date ,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
04-Mar-24,22947.75,22985.95,22889.35,22944.8,630436330,35351.28
05-Mar-24,22927.75,22956.95,22824.85,22900.65,631442047,42485.28
06-Mar-24,22878.55,23011.55,22724.1,22988.35,1169262403,51270.51
07-Mar-24,23024.05,23070.65,22970.85,23036.05,721037787,48596.42
11-Mar-24,23066.95,23073.55,22867.45,22895.45,611047204,45768.8
12-Mar-24,22901.8,22990.05,22784.9,22840.9,568509930,41709.19
13-Mar-24,22928.15,22944.05,22294.45,22399,902967552,57027.15
14-Mar-24,22371.35,22664.2,22296.65,22623.7,754655931,51037.92
15-Mar-24,22548.55,22613.9,22367.65,22494.7,1216448811,78538.63
18-Mar-24,22462.3,22607.5,22393.7,22541.15,600701512,33944.05
19-Mar-24,22449.2,22471.9,22254.55,22274.65,595006127,41417.88
20-Mar-24,22310.3,22383.1,22140.2,22307.75,552665344,38744.84
21-Mar-24,22472.6,22583.05,22445.15,22538.9,632169385,42802.09
22-Mar-24,22476.7,22709.35,22414.5,22633.8,630024734,49320.98
26-Mar-24,22494.15,22650.4,22493.7,22601.35,601129755,47157.32
27-Mar-24,22661.7,22793.15,22661.7,22698.5,710924861,56313.41
28-Mar-24,22747.55,23090.2,22747.55,22920.7,736358648,59807.29
01-Apr-24,23065.15,23161.75,23058.65,23107.15,561385098,35075.41
02-Apr-24,23124.3,23162.55,23056.3,23138.55,736195640,44874.62
03-Apr-24,23077.7,23212.55,23038.2,23136.6,757011381,47296.93
04-Apr-24,23304.2,23327.95,23034,23206,824995897,57048.93
05-Apr-24,23185.3,23262.9,23128.9,23240.55,650130039,39521.78
08-Apr-24,23324.9,23422.3,23289.25,23380.3,595270124,36851.44
09-Apr-24,23480.1,23480.4,23304.5,23348.9,580812422,35431.06
10-Apr-24,23431.95,23494.8,23391.8,23474.7,676665891,41711.48
12-Apr-24,23412.85,23466.8,23244.4,23254.9,803522069,54712.36
15-Apr-24,23026.7,23139.3,22908.6,22967.1,852000259,48171.15
16-Apr-24,22834.1,22944.65,22798.2,22870.3,720067372,43853.74
18-Apr-24,22964.05,23080.5,22702.65,22740.2,910216233,62139.57
19-Apr-24,22591.1,22896.5,22469.05,22859.8,732681812,51372.07
22-Apr-24,23067.3,23115.65,22934.35,23078.9,630973040,40578.36
23-Apr-24,23200.45,23200.7,23098.95,23116,540242144,38181.98
24-Apr-24,23177,23230.65,23148.3,23167.8,544822255,35069.52
